Source Name	Characteristics[organism]	Characteristics[disease]	Characteristics[organism part]	Characteristics[cptac accession number]	Characteristics[data file]	Characteristics[associated file uri]	Characteristics[fraction identifier]	Characteristics[instrument]	Characteristics[modification parameters]	Characteristics[modification parameters]	Characteristics[modification parameters]	Characteristics[modification parameters]	Characteristics[modification parameters]	Characteristics[modification parameters]	Characteristics[modification parameters]	Characteristics[cleavage agent details]	Material Type	Extract Name	Assay Name	Description	Comment[Label]	Comment[fragment mass tolerance] 	Comment[precursor mass tolerance]
Sample 767	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180708_fusion_zhw_TMT11_liver10_pho_F12.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver10_Phosphoproteome/liver10_Phosphoproteome_raw/20180708_fusion_zhw_TMT11_liver10_pho_F12.raw	36	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:770;TA=C;MT=Fixed	NM=STY;AC=MS:1001980;TA=;MT=Variable	AC=MS:1001251;NM=Trypsin	tissue	Sample 767	Sample 767				
Sample 768	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180708_fusion_zhw_TMT11_liver10_pho_F13.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver10_Phosphoproteome/liver10_Phosphoproteome_raw/20180708_fusion_zhw_TMT11_liver10_pho_F13.raw	37	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:771;TA=C;MT=Fixed	NM=STY;AC=MS:1001980;TA=;MT=Variable	AC=MS:1001251;NM=Trypsin	tissue	Sample 768	Sample 768				
Sample 769	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180708_fusion_zhw_TMT11_liver10_pho_F14.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver10_Phosphoproteome/liver10_Phosphoproteome_raw/20180708_fusion_zhw_TMT11_liver10_pho_F14.raw	38	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:772;TA=C;MT=Fixed	NM=STY;AC=MS:1001980;TA=;MT=Variable	AC=MS:1001251;NM=Trypsin	tissue	Sample 769	Sample 769				
Sample 770	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180708_fusion_zhw_TMT11_liver10_pho_F15.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver10_Phosphoproteome/liver10_Phosphoproteome_raw/20180708_fusion_zhw_TMT11_liver10_pho_F15.raw	39	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:773;TA=C;MT=Fixed	NM=STY;AC=MS:1001980;TA=;MT=Variable	AC=MS:1001251;NM=Trypsin	tissue	Sample 770	Sample 770				
Sample 771	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180708_fusion_zhw_TMT11_liver10_pho_F16.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver10_Phosphoproteome/liver10_Phosphoproteome_raw/20180708_fusion_zhw_TMT11_liver10_pho_F16.raw	40	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:774;TA=C;MT=Fixed	NM=STY;AC=MS:1001980;TA=;MT=Variable	AC=MS:1001251;NM=Trypsin	tissue	Sample 771	Sample 771				
Sample 772	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180708_fusion_zhw_TMT11_liver10_pho_F17.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver10_Phosphoproteome/liver10_Phosphoproteome_raw/20180708_fusion_zhw_TMT11_liver10_pho_F17.raw	41	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:775;TA=C;MT=Fixed	NM=STY;AC=MS:1001980;TA=;MT=Variable	AC=MS:1001251;NM=Trypsin	tissue	Sample 772	Sample 772				
Sample 773	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180708_fusion_zhw_TMT11_liver10_pho_F18.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver10_Phosphoproteome/liver10_Phosphoproteome_raw/20180708_fusion_zhw_TMT11_liver10_pho_F18.raw	42	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:776;TA=C;MT=Fixed	NM=STY;AC=MS:1001980;TA=;MT=Variable	AC=MS:1001251;NM=Trypsin	tissue	Sample 773	Sample 773				
Sample 774	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180708_fusion_zhw_TMT11_liver10_pho_F19.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver10_Phosphoproteome/liver10_Phosphoproteome_raw/20180708_fusion_zhw_TMT11_liver10_pho_F19.raw	43	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:777;TA=C;MT=Fixed	NM=STY;AC=MS:1001980;TA=;MT=Variable	AC=MS:1001251;NM=Trypsin	tissue	Sample 774	Sample 774				
Sample 775	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180708_fusion_zhw_TMT11_liver10_pho_F20.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver10_Phosphoproteome/liver10_Phosphoproteome_raw/20180708_fusion_zhw_TMT11_liver10_pho_F20.raw	44	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:778;TA=C;MT=Fixed	NM=STY;AC=MS:1001980;TA=;MT=Variable	AC=MS:1001251;NM=Trypsin	tissue	Sample 775	Sample 775				
Sample 776	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180708_fusion_zhw_TMT11_liver10_pho_F21.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver10_Phosphoproteome/liver10_Phosphoproteome_raw/20180708_fusion_zhw_TMT11_liver10_pho_F21.raw	45	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:779;TA=C;MT=Fixed	NM=STY;AC=MS:1001980;TA=;MT=Variable	AC=MS:1001251;NM=Trypsin	tissue	Sample 776	Sample 776				
Sample 777	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180708_fusion_zhw_TMT11_liver10_pho_F22.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver10_Phosphoproteome/liver10_Phosphoproteome_raw/20180708_fusion_zhw_TMT11_liver10_pho_F22.raw	46	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:780;TA=C;MT=Fixed	NM=STY;AC=MS:1001980;TA=;MT=Variable	AC=MS:1001251;NM=Trypsin	tissue	Sample 777	Sample 777				
Sample 778	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180708_fusion_zhw_TMT11_liver10_pho_F23.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver10_Phosphoproteome/liver10_Phosphoproteome_raw/20180708_fusion_zhw_TMT11_liver10_pho_F23.raw	47	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:781;TA=C;MT=Fixed	NM=STY;AC=MS:1001980;TA=;MT=Variable	AC=MS:1001251;NM=Trypsin	tissue	Sample 778	Sample 778				
Sample 779	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180708_fusion_zhw_TMT11_liver10_pho_F24.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver10_Phosphoproteome/liver10_Phosphoproteome_raw/20180708_fusion_zhw_TMT11_liver10_pho_F24.raw	48	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:782;TA=C;MT=Fixed	NM=STY;AC=MS:1001980;TA=;MT=Variable	AC=MS:1001251;NM=Trypsin	tissue	Sample 779	Sample 779				
Sample 780	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20171216_HF_ZHW_total_liver10_F01.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver10_Proteome/liver10_Proteome_raw/20171216_HF_ZHW_total_liver10_F01.raw	1	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:783;TA=C;MT=Fixed		AC=MS:1001251;NM=Trypsin	tissue	Sample 780	Sample 780				
Sample 781	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20171216_HF_ZHW_total_liver10_F02.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver10_Proteome/liver10_Proteome_raw/20171216_HF_ZHW_total_liver10_F02.raw	2	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:784;TA=C;MT=Fixed		AC=MS:1001251;NM=Trypsin	tissue	Sample 781	Sample 781				
Sample 782	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20171216_HF_ZHW_total_liver10_F03.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver10_Proteome/liver10_Proteome_raw/20171216_HF_ZHW_total_liver10_F03.raw	3	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:785;TA=C;MT=Fixed		AC=MS:1001251;NM=Trypsin	tissue	Sample 782	Sample 782				
Sample 783	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20171216_HF_ZHW_total_liver10_F04.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver10_Proteome/liver10_Proteome_raw/20171216_HF_ZHW_total_liver10_F04.raw	4	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:786;TA=C;MT=Fixed		AC=MS:1001251;NM=Trypsin	tissue	Sample 783	Sample 783				
Sample 784	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20171216_HF_ZHW_total_liver10_F05.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver10_Proteome/liver10_Proteome_raw/20171216_HF_ZHW_total_liver10_F05.raw	5	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:787;TA=C;MT=Fixed		AC=MS:1001251;NM=Trypsin	tissue	Sample 784	Sample 784				
Sample 785	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20171216_HF_ZHW_total_liver10_F06.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver10_Proteome/liver10_Proteome_raw/20171216_HF_ZHW_total_liver10_F06.raw	6	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:788;TA=C;MT=Fixed		AC=MS:1001251;NM=Trypsin	tissue	Sample 785	Sample 785				
Sample 786	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20171216_HF_ZHW_total_liver10_F07.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver10_Proteome/liver10_Proteome_raw/20171216_HF_ZHW_total_liver10_F07.raw	7	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:789;TA=C;MT=Fixed		AC=MS:1001251;NM=Trypsin	tissue	Sample 786	Sample 786				
Sample 787	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20171216_HF_ZHW_total_liver10_F08.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver10_Proteome/liver10_Proteome_raw/20171216_HF_ZHW_total_liver10_F08.raw	8	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:790;TA=C;MT=Fixed		AC=MS:1001251;NM=Trypsin	tissue	Sample 787	Sample 787				
Sample 788	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20171216_HF_ZHW_total_liver10_F09.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver10_Proteome/liver10_Proteome_raw/20171216_HF_ZHW_total_liver10_F09.raw	9	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:791;TA=C;MT=Fixed		AC=MS:1001251;NM=Trypsin	tissue	Sample 788	Sample 788				
Sample 789	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20171216_HF_ZHW_total_liver10_F10.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver10_Proteome/liver10_Proteome_raw/20171216_HF_ZHW_total_liver10_F10.raw	10	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:792;TA=C;MT=Fixed		AC=MS:1001251;NM=Trypsin	tissue	Sample 789	Sample 789				
Sample 790	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20171216_HF_ZHW_total_liver10_F11.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver10_Proteome/liver10_Proteome_raw/20171216_HF_ZHW_total_liver10_F11.raw	11	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:793;TA=C;MT=Fixed		AC=MS:1001251;NM=Trypsin	tissue	Sample 790	Sample 790				
Sample 791	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20171216_HF_ZHW_total_liver10_F12.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver10_Proteome/liver10_Proteome_raw/20171216_HF_ZHW_total_liver10_F12.raw	12	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:794;TA=C;MT=Fixed		AC=MS:1001251;NM=Trypsin	tissue	Sample 791	Sample 791				
Sample 792	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20171216_HF_ZHW_total_liver10_F13.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver10_Proteome/liver10_Proteome_raw/20171216_HF_ZHW_total_liver10_F13.raw	13	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:795;TA=C;MT=Fixed		AC=MS:1001251;NM=Trypsin	tissue	Sample 792	Sample 792				
Sample 793	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20171216_HF_ZHW_total_liver10_F14.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver10_Proteome/liver10_Proteome_raw/20171216_HF_ZHW_total_liver10_F14.raw	14	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:796;TA=C;MT=Fixed		AC=MS:1001251;NM=Trypsin	tissue	Sample 793	Sample 793				
Sample 794	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20171216_HF_ZHW_total_liver10_F15.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver10_Proteome/liver10_Proteome_raw/20171216_HF_ZHW_total_liver10_F15.raw	15	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:797;TA=C;MT=Fixed		AC=MS:1001251;NM=Trypsin	tissue	Sample 794	Sample 794				
Sample 795	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20171216_HF_ZHW_total_liver10_F16.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver10_Proteome/liver10_Proteome_raw/20171216_HF_ZHW_total_liver10_F16.raw	16	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:798;TA=C;MT=Fixed		AC=MS:1001251;NM=Trypsin	tissue	Sample 795	Sample 795				
Sample 796	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20171216_HF_ZHW_total_liver10_F17.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver10_Proteome/liver10_Proteome_raw/20171216_HF_ZHW_total_liver10_F17.raw	17	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:799;TA=C;MT=Fixed		AC=MS:1001251;NM=Trypsin	tissue	Sample 796	Sample 796				
Sample 797	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20171216_HF_ZHW_total_liver10_F18.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver10_Proteome/liver10_Proteome_raw/20171216_HF_ZHW_total_liver10_F18.raw	18	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:800;TA=C;MT=Fixed		AC=MS:1001251;NM=Trypsin	tissue	Sample 797	Sample 797				
